Sequence Feature > Primary DBID	Sequence Feature > Secondary Identifier	Sequence Feature > Standard Name	Sequence Feature > Sgd Alias	Sequence Feature > Description	Sequence Feature > Feature Type
S000003676	YJL140W	RPB4	B32 CTF15 DNA-directed RNA polymerase II subunit RPB4	RNA polymerase II subunit B32; forms dissociable heterodimer with Rpb7p; Rpb4/7 dissociates from RNAPII as Ser2 CTD phosphorylation increases; Rpb4/7 regulates cellular lifespan via mRNA decay process; involved in recruitment of 3'-end processing factors to transcribing RNAPII complex, export of mRNA to cytoplasm under stress conditions; also involved in translation initiation	ORF
S000001283	YIL021W	RPB3	B44 DNA-directed RNA polymerase II core subunit RPB3	RNA polymerase II third largest subunit B44; part of central core; similar to prokaryotic alpha subunit	ORF
S000002273	YDL115C	IWR1	""	RNA polymerase II transport factor, conserved from yeast to humans; also has a role in transporting RNA polymerase III into the nucleus; interacts with most of the RNAP II subunits; nucleo-cytoplasmic shuttling protein; deletion causes hypersensitivity to K1 killer toxin; protein increases in abundance and relocalizes from nucleus to cytoplasm upon DNA replication stress	ORF
S000005868	YOR341W	RPA190	DNA-directed RNA polymerase I core subunit RPA190 A190 RRN1	RNA polymerase I largest subunit A190	ORF
S000006214	YPR010C	RPA135	RPA2 RRN2 SRP3 A135 DNA-directed RNA polymerase I core subunit RPA135	RNA polymerase I second largest subunit A135	ORF
S000003824	YJR063W	RPA12	A12.2 RRN4 DNA-directed RNA polymerase I core subunit RPA12	RNA polymerase I subunit A12.2; contains two zinc binding domains, and the N terminal domain is responsible for anchoring to the RNA pol I complex	ORF
S000002563	YDR156W	RPA14	DNA-directed RNA polymerase I subunit RPA14 A14	RNA polymerase I subunit A14	ORF
S000003684	YJL148W	RPA34	CST21 DNA-directed RNA polymerase I subunit RPA34 A34.5	RNA polymerase I subunit A34.5; essential for nucleolar assembly and for high polymerase loading rate; nucleolar localization depends on Rpa49p	ORF
S000005867	YOR340C	RPA43	A43 DNA-directed RNA polymerase I subunit RPA43	RNA polymerase I subunit A43	ORF
S000005192	YNL248C	RPA49	DNA-directed RNA polymerase I subunit RPA49 A49	RNA polymerase I subunit A49; essential for nucleolar assembly and for high polymerase loading rate; required for nucleolar localization of Rpa34p	ORF
S000002433	YDR026C	NSI1	YTT1	RNA polymerase I termination factor; binds to rDNA terminator element, required for efficient Pol I termination; required for rDNA silencing at NTS1; facilities association of Sir2p with NTS1, contributes to rDNA stability and cell longevity; interacts physically with Fob1p and RENT subunits, Sir2p and Net1p; may interact with ribosomes, based on co-purification experiments; Myb-like DNA-binding protein; NSI1 has a paralog, REB1, that arose from the whole genome duplication	ORF
S000001185	YHR143W-A	RPC10	RPB12 DNA-directed RNA polymerase core subunit RPC10 ABC10-alpha	RNA polymerase subunit ABC10-alpha, found in RNA pol I, II, and III; relocalizes from nucleolus to cytoplasm upon DNA replication stress	ORF
S000005736	YOR210W	RPB10	ABC10-beta DNA-directed RNA polymerase core subunit RPB10	RNA polymerase subunit ABC10-beta; common to RNA polymerases I, II, and III	ORF
S000005750	YOR224C	RPB8	ABC14.5 DNA-directed RNA polymerase core subunit RPB8	RNA polymerase subunit ABC14.5; common to RNA polymerases I, II, and III	ORF
S000006391	YPR187W	RPO26	ABC23 DNA-directed RNA polymerase core subunit RPO26 RPB6	RNA polymerase subunit ABC23; common to RNA polymerases I, II, and III; part of central core; similar to bacterial omega subunit	ORF
S000000358	YBR154C	RPB5	DNA-directed RNA polymerase core subunit RPB5 ABC27	RNA polymerase subunit ABC27; common to RNA polymerases I, II, and III; contacts DNA and affects transactivation	ORF
S000005057	YNL113W	RPC19	AC19 DNA-directed RNA polymerase core subunit RPC19	RNA polymerase subunit AC19; common to RNA polymerases I and III	ORF
S000006314	YPR110C	RPC40	RPC5 DNA-directed RNA polymerase core subunit RPC40	RNA polymerase subunit AC40; common to RNA polymerase I and III; predominant determinant targeting Ty1 integration upstream of Pol III-transcribed genes	ORF
S000005335	YNR052C	POP2	CCR4-NOT core DEDD family RNase subunit POP2 CAF1	RNase of the DEDD superfamily; subunit of the Ccr4-Not complex that mediates 3' to 5' mRNA deadenylation	ORF
S000002495	YDR088C	SLU7	SLT17 mRNA splicing protein SLU7	RNA splicing factor; required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain	ORF
S000006491	SCR1	SCR1	""	RNA subunit of the Signal Recognition Particle (SRP)	ncRNA_gene
S000006657	TLC1	TLC1	TER1	RNA template component of telomerase; flexible scaffold that tethers telomerase holoenzyme protein subunits to the complex; contains template sequence that Est2p uses to add irregular repeats of TG(1-3) residues onto a DNA end; promoter regulated by the cell cycle dependent transcriptional activators Swi4p/Swi6p and Mbp1p/Swi6p	telomerase_RNA_gene
S000002615	YDR207C	UME6	NIM2 RIM16 CAR80 DNA-binding transcriptional regulator UME6	Rpd3L histone deacetylase complex subunit; key transcriptional regulator of early meiotic genes; involved in chromatin remodeling and transcriptional repression via DNA looping; binds URS1 upstream regulatory sequence, represses transcription by recruiting conserved histone deacetylase Rpd3p (through co-repressor Sin3p) and chromatin-remodeling factor Isw2p; couples metabolic responses to nutritional cues with initiation and progression of meiosis, forms compl	ORF
S000002372	YDL213C	NOP6	""	rRNA-binding protein required for 40S ribosomal subunit biogenesis; contains an RNA recognition motif (RRM); hydrophilin essential to overcome the stress of the desiccation-rehydration process; NOP6 may be a fungal-specific gene as no homologs have been yet identified in higher eukaryotes	ORF
S000004967	YNL022C	RCM1	rRNA (cytosine-C5-)-methyltransferase RCM1	rRNA m5C methyltransferase; methylates cytosine at position 2278 of 25S rRNA while Nop2p methylates cytosine at position 2870; contains seven beta-strand methyltransferase motif; localized to the nucleolus; interacts with Trm112p; homolog of NSUN5A, a human gene which is deleted in Williams-Beuren Syndrome	ORF
S000005005	YNL061W	NOP2	YNA1 rRNA (cytosine-C5-)-methyltransferase NOP2	rRNA m5C methyltransferase; methylates cytosine at position 2870 of 25S rRNA; has an essential function independent of rRNA methylation; contains seven beta-strand methyltransferase motif; essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; localized to the nucleolus; constituent of 66S pre-ribosomal particles; rRNA methylation defect and lethality are functionally complemented by human NOP2, a gene upregulated in cancer	ORF
S000004258	YLR268W	SEC22	TSL26 TS26 SLY2 SNAP receptor SEC22	R-SNARE protein; assembles into SNARE complex with Bet1p, Bos1p and Sed5p; cycles between the ER and Golgi complex; involved in anterograde and retrograde transport between the ER and Golgi; synaptobrevin homolog	ORF
S000001473	YIR034C	LYS1	saccharopine dehydrogenase (NAD+, L-lysine-forming)	Saccharopine dehydrogenase (NAD+, L-lysine-forming); catalyzes the conversion of saccharopine to L-lysine, which is the final step in the lysine biosynthesis pathway; also has mRNA binding activity	ORF
S000005333	YNR050C	LYS9	LYS13 saccharopine dehydrogenase (NADP+, L-glutamate-forming)	Saccharopine dehydrogenase (NADP+, L-glutamate-forming); catalyzes the formation of saccharopine from alpha-aminoadipate 6-semialdehyde, the seventh step in lysine biosynthesis pathway; exhibits genetic and physical interactions with TRM112	ORF
S000000845	YER043C	SAH1	adenosylhomocysteinase	S-adenosyl-L-homocysteine hydrolase; catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor; regulates cellular lipid homoeostasis by regulating phosphatidylcholine(PC)synthesis and triacylglycerol (TG) levels	ORF
S000000120	YBL024W	NCL1	tRNA (cytosine-C5-)-methyltransferase TRM4	S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide, causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120	ORF
S000001777	YKR069W	MET1	MET20 uroporphyrinogen-III C-methyltransferase	S-adenosyl-L-methionine uroporphyrinogen III transmethylase; involved in the biosynthesis of siroheme, a prosthetic group used by sulfite reductase; required for sulfate assimilation and methionine biosynthesis	ORF
S000005412	YOL052C	SPE2	adenosylmethionine decarboxylase SPE2	S-adenosylmethionine decarboxylase; required for the biosynthesis of spermidine and spermine; cells lacking Spe2p require spermine or spermidine for growth in the presence of oxygen but not when grown anaerobically	ORF
S000003233	YGR001C	EFM5	AML1 protein-lysine N-methyltransferase	S-adenosylmethionine-dependent lysine methyltransferase; involved in the trimethylation of eEF1A (Tef1p/Tef2p) at lysine 79; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; required for replication of Brome mosaic virus in budding yeast; expresses a circular RNA; originally misclassified as a N-6-adenine specific DNA methyltransferase based on sequence similarity; both Efm5p and human ortholog N6AMT2 can methylate eEF1a from either species in vitro	ORF
S000005007	YNL063W	MTQ1	S-adenosylmethionine-dependent methyltransferase	S-adenosylmethionine-dependent methyltransferase; methylates translational release factor Mrf1p; similar to E.coli PrmC; is not an essential gene	ORF
S000004275	YLR285W	NNT1	EFM7 S-adenosylmethionine-dependent methyltransferase	S-adenosylmethionine-dependent methyltransferase; novel N-terminal protein methyltransferase that trimethylates the N-terminal glycine residue (G2) and also dimethylates lysine (K3) on elongation factor eEF1A (Tef1p/Tef2p); has a role in rDNA silencing and in lifespan determination	ORF
S000004464	YML005W	TRM12	TYW2	S-adenosylmethionine-dependent methyltransferase; required for wybutosine formation in phenylalanine-accepting tRNA; member of the seven beta-strand family	ORF
S000000475	YBR271W	EFM2	S-adenosylmethionine-dependent methyltransferase	S-adenosylmethionine-dependent methyltransferase; seven-beta-strand lysine methyltransferase which dimethylates translation elongation factor EF2 (Eft1p and Eft2p) at lysine 613 and methylates EF3 (Yef3p) at lysine 187; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; involved in regulation of translational termination; predicted involvement in ribosome biogenesis	ORF
S000003890	YJR129C	EFM3	protein-lysine N-methyltransferase	S-adenosylmethionine-dependent methyltransferase; seven-beta-strand lysine methyltransferase which trimethylates translation elongation factor EF2 (Eft1p and Eft2p) at lysine 509; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; ortholog of human gene FAM86A	ORF
S000002547	YDR140W	MTQ2	S-adenosylmethionine-dependent methyltransferase	S-adenosylmethionine-dependent methyltransferase; subunit of complex with Trm112p that methylates translation release factor Sup45p (eRF1) in the ternary complex eRF1-eRF3-GTP; similar to E.coli PrmC; member of the seven beta-strand family	ORF
S000005036	YNL092W	""	S-adenosylmethionine-dependent methyltransferase	S-adenosylmethionine-dependent protein methyltransferase; capable of automethylation; member of the seven beta-strand family; YNL092W is not an essential gene	ORF
S000006194	YPL273W	SAM4	S-adenosylmethionine-homocysteine S-methyltransferase SAM4	S-adenosylmethionine-homocysteine methyltransferase; functions along with Mht1p in the conversion of S-adenosylmethionine (AdoMet) to methionine to control the methionine/AdoMet ratio; SAM4 has a paralog, YMR321C, that arose from a single-locus duplication	ORF
S000002910	YDR502C	SAM2	ETH2 methionine adenosyltransferase SAM2	S-adenosylmethionine synthetase; catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; comparative analysis suggests that a mitochondrially targeted form may result from translation starting at a non-canonical codon upstream of the annotated start codon	ORF
S000004170	YLR180W	SAM1	ETH10 methionine adenosyltransferase SAM1	S-adenosylmethionine synthetase; catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; SAM1 has a paralog, SAM2, that arose from the whole genome duplication	ORF
S000004948	YNL003C	PET8	SAM5	S-adenosylmethionine transporter of the mitochondrial inner membrane; member of the mitochondrial carrier family; required for biotin biosynthesis and respiratory growth	ORF
S000001252	YHR209W	CRG1	S-adenosylmethionine-dependent methyltransferase	S-AdoMet-dependent methyltransferase involved in lipid homeostasis; mediates resistance to a drug cantharidin	ORF
S000001022	YHL030W	ECM29	""	Scaffold protein; assists in association of the proteasome core particle with the regulatory particle; inhibits proteasomal ATPase activity; degraded by the mature proteasome after assembly; contains HEAT-like repeats; protein increases in abundance and relocalizes from nucleus to cytoplasm upon DNA replication stress	ORF
S000002231	YDL073W	AHK1	""	Scaffold protein in the HKR1 sub-branch of the Hog1p-signaling pathway; physically interacts with the cytoplasmic domain of Hkr1p, and with Sho1p, Pbs2p, and Ste11p; prevents cross-talk signaling from Hkr1p of the osmotic stress MAPK cascade to the Kss1p MAPK cascade; non-essential gene	ORF
S000000143	YBL047C	EDE1	BUD15	Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15	ORF
S000004415	YLR423C	ATG17	APG17 protein kinase regulatory subunit ATG17	Scaffold protein responsible for phagophore assembly site organization; regulatory subunit of an autophagy-specific complex that includes Atg1p and Atg13p; stimulates Atg1p kinase activity; human ortholog RB1CC1/FIP200 interacts with p53, which inhibits autophagy in human cells	ORF
S000004491	YML029W	USA1	""	Scaffold subunit of the Hrd1p ubiquitin ligase; also promotes ligase oligomerization; involved in ER-associated protein degradation (ERAD); interacts with the U1 snRNP-specific protein, Snp1p	ORF
